product_number,name,status,excluded_reason,evidence_json,product_url
00-1000-028,【WEB限定】くうぴい絵本セット【BOX付き】,EXCLUDED,WEB_EXCLUSIVE,"[{""reason"":""WEB_EXCLUSIVE"",""matched_fields"":[""description"",""description_html"",""name"",""tags""],""signal"":""explicit_web_exclusive_marker""}]",https://www.mikihouse.co.jp/products/00-1000-028
00-1000-035,【WEB限定】ベビーリュック・ソックスセット【BOX付き】,EXCLUDED,WEB_EXCLUSIVE,"[{""reason"":""WEB_EXCLUSIVE"",""matched_fields"":[""name"",""tags""],""signal"":""explicit_web_exclusive_marker""}]",https://www.mikihouse.co.jp/products/00-1000-035
00-4000-055,【WEB限定】コットンスリーパー・ラトルセット【BOX付き】,EXCLUDED,WEB_EXCLUSIVE,"[{""reason"":""WEB_EXCLUSIVE"",""matched_fields"":[""name"",""tags""],""signal"":""explicit_web_exclusive_marker""}]",https://www.mikihouse.co.jp/products/00-4000-055
00-4000-057,【WEB限定】マイクロファーフード・ブーティ【BOX付き】,EXCLUDED,WEB_EXCLUSIVE,"[{""reason"":""WEB_EXCLUSIVE"",""matched_fields"":[""name"",""tags""],""signal"":""explicit_web_exclusive_marker""}]",https://www.mikihouse.co.jp/products/00-4000-057
00-6000-016,【WEB限定】シャギーベア・ミニタオルセット【BOX付き】,EXCLUDED,WEB_EXCLUSIVE,"[{""reason"":""WEB_EXCLUSIVE"",""matched_fields"":[""name"",""tags""],""signal"":""explicit_web_exclusive_marker""}]",https://www.mikihouse.co.jp/products/00-6000-016
00-6000-017,【WEB限定】マント・ソックスセット【BOX付き】,EXCLUDED,WEB_EXCLUSIVE,"[{""reason"":""WEB_EXCLUSIVE"",""matched_fields"":[""name"",""tags""],""signal"":""explicit_web_exclusive_marker""}]",https://www.mikihouse.co.jp/products/00-6000-017
00-9999-002,名入れ代（無料）,EXCLUDED,NON_SELLABLE_SERVICE_OR_ADDON,"[{""reason"":""NON_SELLABLE_SERVICE_OR_ADDON"",""matched_fields"":[""product_type"",""tags""],""signal"":""explicit_official_cart_support_product_type"",""service_or_addon_kind"":""PERSONALIZATION_FEE"",""official_product_type"":""名入れ代商品"",""corroborating_tags"":[""名入れ代"",""手数料商品""],""corroboration_status"":""OFFICIAL_PRODUCT_TYPE_AND_TAG"",""permanent_product_number_match"":true,""classification_does_not_depend_on_zero_price"":true}]",https://www.mikihouse.co.jp/products/00-9999-002
00-9999-004,名入れ代（500円）,EXCLUDED,NON_SELLABLE_SERVICE_OR_ADDON,"[{""reason"":""NON_SELLABLE_SERVICE_OR_ADDON"",""matched_fields"":[""product_type"",""tags""],""signal"":""explicit_official_cart_support_product_type"",""service_or_addon_kind"":""PERSONALIZATION_FEE"",""official_product_type"":""名入れ代商品"",""corroborating_tags"":[""名入れ代"",""手数料商品""],""corroboration_status"":""OFFICIAL_PRODUCT_TYPE_AND_TAG"",""permanent_product_number_match"":true,""classification_does_not_depend_on_zero_price"":true}]",https://www.mikihouse.co.jp/products/00-9999-004
00-9999-006,名入れ代（1000円）,EXCLUDED,NON_SELLABLE_SERVICE_OR_ADDON,"[{""reason"":""NON_SELLABLE_SERVICE_OR_ADDON"",""matched_fields"":[""product_type"",""tags""],""signal"":""explicit_official_cart_support_product_type"",""service_or_addon_kind"":""PERSONALIZATION_FEE"",""official_product_type"":""名入れ代商品"",""corroborating_tags"":[""名入れ代"",""手数料商品""],""corroboration_status"":""OFFICIAL_PRODUCT_TYPE_AND_TAG"",""permanent_product_number_match"":true,""classification_does_not_depend_on_zero_price"":true}]",https://www.mikihouse.co.jp/products/00-9999-006
00-9999-008,名入れ代（1500円）,EXCLUDED,NON_SELLABLE_SERVICE_OR_ADDON,"[{""reason"":""NON_SELLABLE_SERVICE_OR_ADDON"",""matched_fields"":[""product_type"",""tags""],""signal"":""explicit_official_cart_support_product_type"",""service_or_addon_kind"":""PERSONALIZATION_FEE"",""official_product_type"":""名入れ代商品"",""corroborating_tags"":[""名入れ代"",""手数料商品""],""corroboration_status"":""OFFICIAL_PRODUCT_TYPE_AND_TAG"",""permanent_product_number_match"":true,""classification_does_not_depend_on_zero_price"":true}]",https://www.mikihouse.co.jp/products/00-9999-008
