product_number,gold_label,source_page,source_row,source_column,source_image
10-1105-495,false,1,1,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-3742-791,true,1,1,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-7931-791,true,1,1,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9374-493,false,1,1,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9304-798,false,1,1,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1106-498,false,1,2,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-3859-491,true,1,2,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8214-680,true,1,2,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9467-494,false,1,2,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9305-791,false,1,2,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1107-491,false,1,3,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-4703-140,true,1,3,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8215-683,true,1,3,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9473-680,false,1,3,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9306-145,false,1,3,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1108-494,false,1,4,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5237-578,true,1,4,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8216-686,true,1,4,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9474-140,true,1,4,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9306-794,false,1,4,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1710-576,true,1,5,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5238-571,true,1,5,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8217-689,true,1,5,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9475-143,true,1,5,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9307-148,false,1,5,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1712-794,true,1,6,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5243-498,true,1,6,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8220-685,true,1,6,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9476-146,true,1,6,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9307-681,false,1,6,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1822-578,true,1,7,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5244-491,true,1,7,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8229-149,false,1,7,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9621-496,true,1,7,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9308-141,false,1,7,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1825-492,false,1,8,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5264-143,true,1,8,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8231-142,true,1,8,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9629-148,true,1,8,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9308-684,true,1,8,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1827-498,true,1,9,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5265-146,true,1,9,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8233-148,true,1,9,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9630-148,true,1,9,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9309-687,true,1,9,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1909-680,true,1,10,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5268-794,true,1,10,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8234-141,true,1,10,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9635-792,true,1,10,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9403-794,false,1,10,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1912-143,true,1,11,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5269-797,true,1,11,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8240-146,false,1,11,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9707-147,false,1,11,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9404-681,false,1,11,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1913-146,true,1,12,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5278-579,true,1,12,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8244-797,true,1,12,3,bcb0b00b88fede9e366db73feb3bd488.jpg
10-9709-792,true,1,12,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9405-684,true,1,12,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1915-791,true,1,13,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5280-794,true,1,13,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8248-799,true,1,13,3,bcb0b00b88fede9e366db73feb3bd488.jpg
11-1201-680,true,1,13,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9601-796,false,1,13,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1916-794,true,1,14,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5286-143,true,1,14,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8257-793,true,1,14,3,bcb0b00b88fede9e366db73feb3bd488.jpg
11-1702-794,true,1,14,4,bcb0b00b88fede9e366db73feb3bd488.jpg
11-9602-799,false,1,14,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1919-793,true,1,15,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5287-146,true,1,15,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8258-796,false,1,15,3,bcb0b00b88fede9e366db73feb3bd488.jpg
11-1901-140,false,1,15,4,bcb0b00b88fede9e366db73feb3bd488.jpg
12-1305-794,true,1,15,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-1920-793,true,1,16,1,bcb0b00b88fede9e366db73feb3bd488.jpg
10-5302-571,true,1,16,2,bcb0b00b88fede9e366db73feb3bd488.jpg
10-8259-799,false,1,16,3,bcb0b00b88fede9e366db73feb3bd488.jpg
11-1901-492,false,1,16,4,bcb0b00b88fede9e366db73feb3bd488.jpg
12-1306-797,true,1,16,5,bcb0b00b88fede9e366db73feb3bd488.jpg
10-2429-491,true,1,17,1,bcb0b00b88fede9e366db73feb3bd488.jpg
